Configuration,Screen Size (Inches),Battery Life (Hours),RAM (GB),Processor Speeds (GHz),HD Size (GB)
1,15,4,1,1.5,40
2,15,4,1,1.5,40
3,15,4,1,1.5,80
4,15,4,1,1.5,80
5,15,4,1,1.5,120
6,15,4,1,1.5,120
7,15,4,1,1.5,300
8,15,4,1,1.5,300
9,15,4,1,1.5,40
10,15,4,1,1.5,40
11,15,4,1,1.5,80
12,15,4,1,1.5,80
13,15,4,1,1.5,120
14,15,4,1,1.5,120
15,15,4,1,1.5,300
16,15,4,1,1.5,300
17,15,4,1,2,40
18,15,4,1,2,40
19,15,4,1,2,80
20,15,4,1,2,80
21,15,4,1,2,120
22,15,4,1,2,120
23,15,4,1,2,300
24,15,4,1,2,300
25,15,4,1,2,40
26,15,4,1,2,40
27,15,4,1,2,80
28,15,4,1,2,80
29,15,4,1,2,120
30,15,4,1,2,120
31,15,4,1,2,300
32,15,4,1,2,300
33,15,4,1,2.4,40
34,15,4,1,2.4,40
35,15,4,1,2.4,80
36,15,4,1,2.4,80
37,15,4,1,2.4,120
38,15,4,1,2.4,120
39,15,4,1,2.4,300
40,15,4,1,2.4,300
41,15,4,1,2.4,40
42,15,4,1,2.4,40
43,15,4,1,2.4,80
44,15,4,1,2.4,80
45,15,4,1,2.4,120
46,15,4,1,2.4,120
47,15,4,1,2.4,300
48,15,4,1,2.4,300
49,15,4,2,1.5,40
50,15,4,2,1.5,40
51,15,4,2,1.5,80
52,15,4,2,1.5,80
53,15,4,2,1.5,120
54,15,4,2,1.5,120
55,15,4,2,1.5,300
56,15,4,2,1.5,300
57,15,4,2,1.5,40
58,15,4,2,1.5,40
59,15,4,2,1.5,80
60,15,4,2,1.5,80
61,15,4,2,1.5,120
62,15,4,2,1.5,120
63,15,4,2,1.5,300
64,15,4,2,1.5,300
65,15,4,2,2,40
66,15,4,2,2,40
67,15,4,2,2,80
68,15,4,2,2,80
69,15,4,2,2,120
70,15,4,2,2,120
71,15,4,2,2,300
72,15,4,2,2,300
73,15,4,2,2,40
74,15,4,2,2,40
75,15,4,2,2,80
76,15,4,2,2,80
77,15,4,2,2,120
78,15,4,2,2,120
79,15,4,2,2,300
80,15,4,2,2,300
81,15,4,2,2.4,40
82,15,4,2,2.4,40
83,15,4,2,2.4,80
84,15,4,2,2.4,80
85,15,4,2,2.4,120
86,15,4,2,2.4,120
87,15,4,2,2.4,300
88,15,4,2,2.4,300
89,15,4,2,2.4,40
90,15,4,2,2.4,40
91,15,4,2,2.4,80
92,15,4,2,2.4,80
93,15,4,2,2.4,120
94,15,4,2,2.4,120
95,15,4,2,2.4,300
96,15,4,2,2.4,300
97,15,4,4,1.5,40
98,15,4,4,1.5,40
99,15,4,4,1.5,80
100,15,4,4,1.5,80
101,15,4,4,1.5,120
102,15,4,4,1.5,120
103,15,4,4,1.5,300
104,15,4,4,1.5,300
105,15,4,4,1.5,40
106,15,4,4,1.5,40
107,15,4,4,1.5,80
108,15,4,4,1.5,80
109,15,4,4,1.5,120
110,15,4,4,1.5,120
111,15,4,4,1.5,300
112,15,4,4,1.5,300
113,15,4,4,2,40
114,15,4,4,2,40
115,15,4,4,2,80
116,15,4,4,2,80
117,15,4,4,2,120
118,15,4,4,2,120
119,15,4,4,2,300
120,15,4,4,2,300
121,15,4,4,2,40
122,15,4,4,2,40
123,15,4,4,2,80
124,15,4,4,2,80
125,15,4,4,2,120
126,15,4,4,2,120
127,15,4,4,2,300
128,15,4,4,2,300
129,15,4,4,2.4,40
130,15,4,4,2.4,40
131,15,4,4,2.4,80
132,15,4,4,2.4,80
133,15,4,4,2.4,120
134,15,4,4,2.4,120
135,15,4,4,2.4,300
136,15,4,4,2.4,300
137,15,4,4,2.4,40
138,15,4,4,2.4,40
139,15,4,4,2.4,80
140,15,4,4,2.4,80
141,15,4,4,2.4,120
142,15,4,4,2.4,120
143,15,4,4,2.4,300
144,15,4,4,2.4,300
145,15,5,1,1.5,40
146,15,5,1,1.5,40
147,15,5,1,1.5,80
148,15,5,1,1.5,80
149,15,5,1,1.5,120
150,15,5,1,1.5,120
151,15,5,1,1.5,300
152,15,5,1,1.5,300
153,15,5,1,1.5,40
154,15,5,1,1.5,40
155,15,5,1,1.5,80
156,15,5,1,1.5,80
157,15,5,1,1.5,120
158,15,5,1,1.5,120
159,15,5,1,1.5,300
160,15,5,1,1.5,300
161,15,5,1,2,40
162,15,5,1,2,40
163,15,5,1,2,80
164,15,5,1,2,80
165,15,5,1,2,120
166,15,5,1,2,120
167,15,5,1,2,300
168,15,5,1,2,300
169,15,5,1,2,40
170,15,5,1,2,40
171,15,5,1,2,80
172,15,5,1,2,80
173,15,5,1,2,120
174,15,5,1,2,120
175,15,5,1,2,300
176,15,5,1,2,300
177,15,5,1,2.4,40
178,15,5,1,2.4,40
179,15,5,1,2.4,80
180,15,5,1,2.4,80
181,15,5,1,2.4,120
182,15,5,1,2.4,120
183,15,5,1,2.4,300
184,15,5,1,2.4,300
185,15,5,1,2.4,40
186,15,5,1,2.4,40
187,15,5,1,2.4,80
188,15,5,1,2.4,80
189,15,5,1,2.4,120
190,15,5,1,2.4,120
191,15,5,1,2.4,300
192,15,5,1,2.4,300
193,15,5,2,1.5,40
194,15,5,2,1.5,40
195,15,5,2,1.5,80
196,15,5,2,1.5,80
197,15,5,2,1.5,120
198,15,5,2,1.5,120
199,15,5,2,1.5,300
200,15,5,2,1.5,300
201,15,5,2,1.5,40
202,15,5,2,1.5,40
203,15,5,2,1.5,80
204,15,5,2,1.5,80
205,15,5,2,1.5,120
206,15,5,2,1.5,120
207,15,5,2,1.5,300
208,15,5,2,1.5,300
209,15,5,2,2,40
210,15,5,2,2,40
211,15,5,2,2,80
212,15,5,2,2,80
213,15,5,2,2,120
214,15,5,2,2,120
215,15,5,2,2,300
216,15,5,2,2,300
217,15,5,2,2,40
218,15,5,2,2,40
219,15,5,2,2,80
220,15,5,2,2,80
221,15,5,2,2,120
222,15,5,2,2,120
223,15,5,2,2,300
224,15,5,2,2,300
225,15,5,2,2.4,40
226,15,5,2,2.4,40
227,15,5,2,2.4,80
228,15,5,2,2.4,80
229,15,5,2,2.4,120
230,15,5,2,2.4,120
231,15,5,2,2.4,300
232,15,5,2,2.4,300
233,15,5,2,2.4,40
234,15,5,2,2.4,40
235,15,5,2,2.4,80
236,15,5,2,2.4,80
237,15,5,2,2.4,120
238,15,5,2,2.4,120
239,15,5,2,2.4,300
240,15,5,2,2.4,300
241,15,5,4,1.5,40
242,15,5,4,1.5,40
243,15,5,4,1.5,80
244,15,5,4,1.5,80
245,15,5,4,1.5,120
246,15,5,4,1.5,120
247,15,5,4,1.5,300
248,15,5,4,1.5,300
249,15,5,4,1.5,40
250,15,5,4,1.5,40
251,15,5,4,1.5,80
252,15,5,4,1.5,80
253,15,5,4,1.5,120
254,15,5,4,1.5,120
255,15,5,4,1.5,300
256,15,5,4,1.5,300
257,15,5,4,2,40
258,15,5,4,2,40
259,15,5,4,2,80
260,15,5,4,2,80
261,15,5,4,2,120
262,15,5,4,2,120
263,15,5,4,2,300
264,15,5,4,2,300
265,15,5,4,2,40
266,15,5,4,2,40
267,15,5,4,2,80
268,15,5,4,2,80
269,15,5,4,2,120
270,15,5,4,2,120
271,15,5,4,2,300
272,15,5,4,2,300
273,15,5,4,2.4,40
274,15,5,4,2.4,40
275,15,5,4,2.4,80
276,15,5,4,2.4,80
277,15,5,4,2.4,120
278,15,5,4,2.4,120
279,15,5,4,2.4,300
280,15,5,4,2.4,300
281,15,5,4,2.4,40
282,15,5,4,2.4,40
283,15,5,4,2.4,80
284,15,5,4,2.4,80
285,15,5,4,2.4,120
286,15,5,4,2.4,120
287,15,5,4,2.4,300
288,15,5,4,2.4,300
289,15,6,1,1.5,40
290,15,6,1,1.5,40
291,15,6,1,1.5,80
292,15,6,1,1.5,80
293,15,6,1,1.5,120
294,15,6,1,1.5,120
295,15,6,1,1.5,300
296,15,6,1,1.5,300
297,15,6,1,1.5,40
298,15,6,1,1.5,40
299,15,6,1,1.5,80
300,15,6,1,1.5,80
301,15,6,1,1.5,120
302,15,6,1,1.5,120
303,15,6,1,1.5,300
304,15,6,1,1.5,300
305,15,6,1,2,40
306,15,6,1,2,40
307,15,6,1,2,80
308,15,6,1,2,80
309,15,6,1,2,120
310,15,6,1,2,120
311,15,6,1,2,300
312,15,6,1,2,300
313,15,6,1,2,40
314,15,6,1,2,40
315,15,6,1,2,80
316,15,6,1,2,80
317,15,6,1,2,120
318,15,6,1,2,120
319,15,6,1,2,300
320,15,6,1,2,300
321,15,6,1,2.4,40
322,15,6,1,2.4,40
323,15,6,1,2.4,80
324,15,6,1,2.4,80
325,15,6,1,2.4,120
326,15,6,1,2.4,120
327,15,6,1,2.4,300
328,15,6,1,2.4,300
329,15,6,1,2.4,40
330,15,6,1,2.4,40
331,15,6,1,2.4,80
332,15,6,1,2.4,80
333,15,6,1,2.4,120
334,15,6,1,2.4,120
335,15,6,1,2.4,300
336,15,6,1,2.4,300
337,15,6,2,1.5,40
338,15,6,2,1.5,40
339,15,6,2,1.5,80
340,15,6,2,1.5,80
341,15,6,2,1.5,120
342,15,6,2,1.5,120
343,15,6,2,1.5,300
344,15,6,2,1.5,300
345,15,6,2,1.5,40
346,15,6,2,1.5,40
347,15,6,2,1.5,80
348,15,6,2,1.5,80
349,15,6,2,1.5,120
350,15,6,2,1.5,120
351,15,6,2,1.5,300
352,15,6,2,1.5,300
353,15,6,2,2,40
354,15,6,2,2,40
355,15,6,2,2,80
356,15,6,2,2,80
357,15,6,2,2,120
358,15,6,2,2,120
359,15,6,2,2,300
360,15,6,2,2,300
361,15,6,2,2,40
362,15,6,2,2,40
363,15,6,2,2,80
364,15,6,2,2,80
365,15,6,2,2,120
366,15,6,2,2,120
367,15,6,2,2,300
368,15,6,2,2,300
369,15,6,2,2.4,40
370,15,6,2,2.4,40
371,15,6,2,2.4,80
372,15,6,2,2.4,80
373,15,6,2,2.4,120
374,15,6,2,2.4,120
375,15,6,2,2.4,300
376,15,6,2,2.4,300
377,15,6,2,2.4,40
378,15,6,2,2.4,40
379,15,6,2,2.4,80
380,15,6,2,2.4,80
381,15,6,2,2.4,120
382,15,6,2,2.4,120
383,15,6,2,2.4,300
384,15,6,2,2.4,300
385,15,6,4,1.5,40
386,15,6,4,1.5,40
387,15,6,4,1.5,80
388,15,6,4,1.5,80
389,15,6,4,1.5,120
390,15,6,4,1.5,120
391,15,6,4,1.5,300
392,15,6,4,1.5,300
393,15,6,4,1.5,40
394,15,6,4,1.5,40
395,15,6,4,1.5,80
396,15,6,4,1.5,80
397,15,6,4,1.5,120
398,15,6,4,1.5,120
399,15,6,4,1.5,300
400,15,6,4,1.5,300
401,15,6,4,2,40
402,15,6,4,2,40
403,15,6,4,2,80
404,15,6,4,2,80
405,15,6,4,2,120
406,15,6,4,2,120
407,15,6,4,2,300
408,15,6,4,2,300
409,15,6,4,2,40
410,15,6,4,2,40
411,15,6,4,2,80
412,15,6,4,2,80
413,15,6,4,2,120
414,15,6,4,2,120
415,15,6,4,2,300
416,15,6,4,2,300
417,15,6,4,2.4,40
418,15,6,4,2.4,40
419,15,6,4,2.4,80
420,15,6,4,2.4,80
421,15,6,4,2.4,120
422,15,6,4,2.4,120
423,15,6,4,2.4,300
424,15,6,4,2.4,300
425,15,6,4,2.4,40
426,15,6,4,2.4,40
427,15,6,4,2.4,80
428,15,6,4,2.4,80
429,15,6,4,2.4,120
430,15,6,4,2.4,120
431,15,6,4,2.4,300
432,15,6,4,2.4,300
433,17,4,1,1.5,40
434,17,4,1,1.5,40
435,17,4,1,1.5,80
436,17,4,1,1.5,80
437,17,4,1,1.5,120
438,17,4,1,1.5,120
439,17,4,1,1.5,300
440,17,4,1,1.5,300
441,17,4,1,1.5,40
442,17,4,1,1.5,40
443,17,4,1,1.5,80
444,17,4,1,1.5,80
445,17,4,1,1.5,120
446,17,4,1,1.5,120
447,17,4,1,1.5,300
448,17,4,1,1.5,300
449,17,4,1,2,40
450,17,4,1,2,40
451,17,4,1,2,80
452,17,4,1,2,80
453,17,4,1,2,120
454,17,4,1,2,120
455,17,4,1,2,300
456,17,4,1,2,300
457,17,4,1,2,40
458,17,4,1,2,40
459,17,4,1,2,80
460,17,4,1,2,80
461,17,4,1,2,120
462,17,4,1,2,120
463,17,4,1,2,300
464,17,4,1,2,300
465,17,4,1,2.4,40
466,17,4,1,2.4,40
467,17,4,1,2.4,80
468,17,4,1,2.4,80
469,17,4,1,2.4,120
470,17,4,1,2.4,120
471,17,4,1,2.4,300
472,17,4,1,2.4,300
473,17,4,1,2.4,40
474,17,4,1,2.4,40
475,17,4,1,2.4,80
476,17,4,1,2.4,80
477,17,4,1,2.4,120
478,17,4,1,2.4,120
479,17,4,1,2.4,300
480,17,4,1,2.4,300
481,17,4,2,1.5,40
482,17,4,2,1.5,40
483,17,4,2,1.5,80
484,17,4,2,1.5,80
485,17,4,2,1.5,120
486,17,4,2,1.5,120
487,17,4,2,1.5,300
488,17,4,2,1.5,300
489,17,4,2,1.5,40
490,17,4,2,1.5,40
491,17,4,2,1.5,80
492,17,4,2,1.5,80
493,17,4,2,1.5,120
494,17,4,2,1.5,120
495,17,4,2,1.5,300
496,17,4,2,1.5,300
497,17,4,2,2,40
498,17,4,2,2,40
499,17,4,2,2,80
500,17,4,2,2,80
501,17,4,2,2,120
502,17,4,2,2,120
503,17,4,2,2,300
504,17,4,2,2,300
505,17,4,2,2,40
506,17,4,2,2,40
507,17,4,2,2,80
508,17,4,2,2,80
509,17,4,2,2,120
510,17,4,2,2,120
511,17,4,2,2,300
512,17,4,2,2,300
513,17,4,2,2.4,40
514,17,4,2,2.4,40
515,17,4,2,2.4,80
516,17,4,2,2.4,80
517,17,4,2,2.4,120
518,17,4,2,2.4,120
519,17,4,2,2.4,300
520,17,4,2,2.4,300
521,17,4,2,2.4,40
522,17,4,2,2.4,40
523,17,4,2,2.4,80
524,17,4,2,2.4,80
525,17,4,2,2.4,120
526,17,4,2,2.4,120
527,17,4,2,2.4,300
528,17,4,2,2.4,300
529,17,4,4,1.5,40
530,17,4,4,1.5,40
531,17,4,4,1.5,80
532,17,4,4,1.5,80
533,17,4,4,1.5,120
534,17,4,4,1.5,120
535,17,4,4,1.5,300
536,17,4,4,1.5,300
537,17,4,4,1.5,40
538,17,4,4,1.5,40
539,17,4,4,1.5,80
540,17,4,4,1.5,80
541,17,4,4,1.5,120
542,17,4,4,1.5,120
543,17,4,4,1.5,300
544,17,4,4,1.5,300
545,17,4,4,2,40
546,17,4,4,2,40
547,17,4,4,2,80
548,17,4,4,2,80
549,17,4,4,2,120
550,17,4,4,2,120
551,17,4,4,2,300
552,17,4,4,2,300
553,17,4,4,2,40
554,17,4,4,2,40
555,17,4,4,2,80
556,17,4,4,2,80
557,17,4,4,2,120
558,17,4,4,2,120
559,17,4,4,2,300
560,17,4,4,2,300
561,17,4,4,2.4,40
562,17,4,4,2.4,40
563,17,4,4,2.4,80
564,17,4,4,2.4,80
565,17,4,4,2.4,120
566,17,4,4,2.4,120
567,17,4,4,2.4,300
568,17,4,4,2.4,300
569,17,4,4,2.4,40
570,17,4,4,2.4,40
571,17,4,4,2.4,80
572,17,4,4,2.4,80
573,17,4,4,2.4,120
574,17,4,4,2.4,120
575,17,4,4,2.4,300
576,17,4,4,2.4,300
577,17,5,1,1.5,40
578,17,5,1,1.5,40
579,17,5,1,1.5,80
580,17,5,1,1.5,80
581,17,5,1,1.5,120
582,17,5,1,1.5,120
583,17,5,1,1.5,300
584,17,5,1,1.5,300
585,17,5,1,1.5,40
586,17,5,1,1.5,40
587,17,5,1,1.5,80
588,17,5,1,1.5,80
589,17,5,1,1.5,120
590,17,5,1,1.5,120
591,17,5,1,1.5,300
592,17,5,1,1.5,300
593,17,5,1,2,40
594,17,5,1,2,40
595,17,5,1,2,80
596,17,5,1,2,80
597,17,5,1,2,120
598,17,5,1,2,120
599,17,5,1,2,300
600,17,5,1,2,300
601,17,5,1,2,40
602,17,5,1,2,40
603,17,5,1,2,80
604,17,5,1,2,80
605,17,5,1,2,120
606,17,5,1,2,120
607,17,5,1,2,300
608,17,5,1,2,300
609,17,5,1,2.4,40
610,17,5,1,2.4,40
611,17,5,1,2.4,80
612,17,5,1,2.4,80
613,17,5,1,2.4,120
614,17,5,1,2.4,120
615,17,5,1,2.4,300
616,17,5,1,2.4,300
617,17,5,1,2.4,40
618,17,5,1,2.4,40
619,17,5,1,2.4,80
620,17,5,1,2.4,80
621,17,5,1,2.4,120
622,17,5,1,2.4,120
623,17,5,1,2.4,300
624,17,5,1,2.4,300
625,17,5,2,1.5,40
626,17,5,2,1.5,40
627,17,5,2,1.5,80
628,17,5,2,1.5,80
629,17,5,2,1.5,120
630,17,5,2,1.5,120
631,17,5,2,1.5,300
632,17,5,2,1.5,300
633,17,5,2,1.5,40
634,17,5,2,1.5,40
635,17,5,2,1.5,80
636,17,5,2,1.5,80
637,17,5,2,1.5,120
638,17,5,2,1.5,120
639,17,5,2,1.5,300
640,17,5,2,1.5,300
641,17,5,2,2,40
642,17,5,2,2,40
643,17,5,2,2,80
644,17,5,2,2,80
645,17,5,2,2,120
646,17,5,2,2,120
647,17,5,2,2,300
648,17,5,2,2,300
649,17,5,2,2,40
650,17,5,2,2,40
651,17,5,2,2,80
652,17,5,2,2,80
653,17,5,2,2,120
654,17,5,2,2,120
655,17,5,2,2,300
656,17,5,2,2,300
657,17,5,2,2.4,40
658,17,5,2,2.4,40
659,17,5,2,2.4,80
660,17,5,2,2.4,80
661,17,5,2,2.4,120
662,17,5,2,2.4,120
663,17,5,2,2.4,300
664,17,5,2,2.4,300
665,17,5,2,2.4,40
666,17,5,2,2.4,40
667,17,5,2,2.4,80
668,17,5,2,2.4,80
669,17,5,2,2.4,120
670,17,5,2,2.4,120
671,17,5,2,2.4,300
672,17,5,2,2.4,300
673,17,5,4,1.5,40
674,17,5,4,1.5,40
675,17,5,4,1.5,80
676,17,5,4,1.5,80
677,17,5,4,1.5,120
678,17,5,4,1.5,120
679,17,5,4,1.5,300
680,17,5,4,1.5,300
681,17,5,4,1.5,40
682,17,5,4,1.5,40
683,17,5,4,1.5,80
684,17,5,4,1.5,80
685,17,5,4,1.5,120
686,17,5,4,1.5,120
687,17,5,4,1.5,300
688,17,5,4,1.5,300
689,17,5,4,2,40
690,17,5,4,2,40
691,17,5,4,2,80
692,17,5,4,2,80
693,17,5,4,2,120
694,17,5,4,2,120
695,17,5,4,2,300
696,17,5,4,2,300
697,17,5,4,2,40
698,17,5,4,2,40
699,17,5,4,2,80
700,17,5,4,2,80
701,17,5,4,2,120
702,17,5,4,2,120
703,17,5,4,2,300
704,17,5,4,2,300
705,17,5,4,2.4,40
706,17,5,4,2.4,40
707,17,5,4,2.4,80
708,17,5,4,2.4,80
709,17,5,4,2.4,120
710,17,5,4,2.4,120
711,17,5,4,2.4,300
712,17,5,4,2.4,300
713,17,5,4,2.4,40
714,17,5,4,2.4,40
715,17,5,4,2.4,80
716,17,5,4,2.4,80
717,17,5,4,2.4,120
718,17,5,4,2.4,120
719,17,5,4,2.4,300
720,17,5,4,2.4,300
721,17,6,1,1.5,40
722,17,6,1,1.5,40
723,17,6,1,1.5,80
724,17,6,1,1.5,80
725,17,6,1,1.5,120
726,17,6,1,1.5,120
727,17,6,1,1.5,300
728,17,6,1,1.5,300
729,17,6,1,1.5,40
730,17,6,1,1.5,40
731,17,6,1,1.5,80
732,17,6,1,1.5,80
733,17,6,1,1.5,120
734,17,6,1,1.5,120
735,17,6,1,1.5,300
736,17,6,1,1.5,300
737,17,6,1,2,40
738,17,6,1,2,40
739,17,6,1,2,80
740,17,6,1,2,80
741,17,6,1,2,120
742,17,6,1,2,120
743,17,6,1,2,300
744,17,6,1,2,300
745,17,6,1,2,40
746,17,6,1,2,40
747,17,6,1,2,80
748,17,6,1,2,80
749,17,6,1,2,120
750,17,6,1,2,120
751,17,6,1,2,300
752,17,6,1,2,300
753,17,6,1,2.4,40
754,17,6,1,2.4,40
755,17,6,1,2.4,80
756,17,6,1,2.4,80
757,17,6,1,2.4,120
758,17,6,1,2.4,120
759,17,6,1,2.4,300
760,17,6,1,2.4,300
761,17,6,1,2.4,40
762,17,6,1,2.4,40
763,17,6,1,2.4,80
764,17,6,1,2.4,80
765,17,6,1,2.4,120
766,17,6,1,2.4,120
767,17,6,1,2.4,300
768,17,6,1,2.4,300
769,17,6,2,1.5,40
770,17,6,2,1.5,40
771,17,6,2,1.5,80
772,17,6,2,1.5,80
773,17,6,2,1.5,120
774,17,6,2,1.5,120
775,17,6,2,1.5,300
776,17,6,2,1.5,300
777,17,6,2,1.5,40
778,17,6,2,1.5,40
779,17,6,2,1.5,80
780,17,6,2,1.5,80
781,17,6,2,1.5,120
782,17,6,2,1.5,120
783,17,6,2,1.5,300
784,17,6,2,1.5,300
785,17,6,2,2,40
786,17,6,2,2,40
787,17,6,2,2,80
788,17,6,2,2,80
789,17,6,2,2,120
790,17,6,2,2,120
791,17,6,2,2,300
792,17,6,2,2,300
793,17,6,2,2,40
794,17,6,2,2,40
795,17,6,2,2,80
796,17,6,2,2,80
797,17,6,2,2,120
798,17,6,2,2,120
799,17,6,2,2,300
800,17,6,2,2,300
801,17,6,2,2.4,40
802,17,6,2,2.4,40
803,17,6,2,2.4,80
804,17,6,2,2.4,80
805,17,6,2,2.4,120
806,17,6,2,2.4,120
807,17,6,2,2.4,300
808,17,6,2,2.4,300
809,17,6,2,2.4,40
810,17,6,2,2.4,40
811,17,6,2,2.4,80
812,17,6,2,2.4,80
813,17,6,2,2.4,120
814,17,6,2,2.4,120
815,17,6,2,2.4,300
816,17,6,2,2.4,300
817,17,6,4,1.5,40
818,17,6,4,1.5,40
819,17,6,4,1.5,80
820,17,6,4,1.5,80
821,17,6,4,1.5,120
822,17,6,4,1.5,120
823,17,6,4,1.5,300
824,17,6,4,1.5,300
825,17,6,4,1.5,40
826,17,6,4,1.5,40
827,17,6,4,1.5,80
828,17,6,4,1.5,80
829,17,6,4,1.5,120
830,17,6,4,1.5,120
831,17,6,4,1.5,300
832,17,6,4,1.5,300
833,17,6,4,2,40
834,17,6,4,2,40
835,17,6,4,2,80
836,17,6,4,2,80
837,17,6,4,2,120
838,17,6,4,2,120
839,17,6,4,2,300
840,17,6,4,2,300
841,17,6,4,2,40
842,17,6,4,2,40
843,17,6,4,2,80
844,17,6,4,2,80
845,17,6,4,2,120
846,17,6,4,2,120
847,17,6,4,2,300
848,17,6,4,2,300
849,17,6,4,2.4,40
850,17,6,4,2.4,40
851,17,6,4,2.4,80
852,17,6,4,2.4,80
853,17,6,4,2.4,120
854,17,6,4,2.4,120
855,17,6,4,2.4,300
856,17,6,4,2.4,300
857,17,6,4,2.4,40
858,17,6,4,2.4,40
859,17,6,4,2.4,80
860,17,6,4,2.4,80
861,17,6,4,2.4,120
862,17,6,4,2.4,120
863,17,6,4,2.4,300
864,17,6,4,2.4,300
